(0.27953, -1.00334, -0.0363077)
(-0.30818, -0.99441, -0.0391389)
(-0.323674, -0.988391, 0.0561034)
(-0.308923, -0.982832, 0.151491)
(0.278788, -0.99176, 0.154323)
(0.294281, -0.997778, 0.0590803)
(0.418493, -0.948215, -0.0839966)
(0.354509, -0.954908, -0.210632)
(-0.37997, -0.943751, -0.21417)
(-0.444939, -0.935099, -0.088156)
(-0.467701, -0.926257, 0.0517687)
(-0.44603, -0.918089, 0.191907)
(-0.382045, -0.911396, 0.318543)
(0.352434, -0.922554, 0.322081)
(0.417402, -0.931205, 0.196067)
(0.440165, -0.940048, 0.0561423)
(0.547151, -0.870825, -0.129617)
(0.46431, -0.87949, -0.293573)
(0.334795, -0.885398, -0.423996)
(-0.356101, -0.874903, -0.427324)
(-0.486626, -0.865045, -0.298153)
(-0.570741, -0.853843, -0.135002)
(-0.600212, -0.842395, 0.0461594)
(-0.572154, -0.831821, 0.227598)
(-0.489312, -0.823156, 0.391554)
(-0.359798, -0.817248, 0.521977)
(0.331098, -0.827743, 0.525305)
(0.461623, -0.837601, 0.396135)
(0.545739, -0.848802, 0.232983)
(0.575209, -0.860251, 0.0518218)
(0.662336, -0.773073, -0.172046)
(0.562678, -0.783497, -0.369285)
(0.406872, -0.790604, -0.526184)
(-0.424277, -0.777979, -0.530188)
(-0.5813, -0.766119, -0.374796)
(-0.682491, -0.752644, -0.178524)
(-0.717944, -0.738872, 0.0394134)
(-0.684189, -0.726151, 0.257685)
(-0.584531, -0.715727, 0.454923)
(-0.428725, -0.708619, 0.611822)
(0.402424, -0.721245, 0.615826)
(0.559446, -0.733104, 0.460434)
(0.660637, -0.74658, 0.264163)
(0.69609, -0.760352, 0.0462253)
(0.761213, -0.657366, -0.210239)
(0.647192, -0.669292, -0.435904)
(0.46893, -0.677424, -0.615416)
(-0.482006, -0.662979, -0.619997)
(-0.66166, -0.64941, -0.442209)
(-0.777434, -0.633993, -0.217651)
(-0.817997, -0.618236, 0.0316969)
(-0.779378, -0.603682, 0.281426)
(-0.665357, -0.591755, 0.507091)
(0.643494, -0.611637, 0.513396)
(0.759269, -0.627054, 0.288838)
(0.799832, -0.642811, 0.0394906)
(0.841346, -0.526553, -0.243254)
(0.715769, -0.539688, -0.49179)
(0.519441, -0.548644, -0.689494)
(-0.527867, -0.532735, -0.694539)
(-0.725727, -0.517791, -0.498734)
(-0.853235, -0.500811, -0.251418)
(-0.897909, -0.483457, 0.0232)
(-0.855376, -0.467428, 0.298238)
(0.839204, -0.49317, 0.306401)
(0.883878, -0.510524, 0.0317834)
(0.855376, 0.379653, -0.298238)
(0.7298, 0.366518, -0.546773)
(0.533472, 0.357562, -0.744478)
(-0.513837, 0.373471, -0.749523)
(-0.711697, 0.388415, -0.553717)
(-0.839205, 0.405395, -0.306401)
(-0.883878, 0.422749, -0.0317834)
(-0.841345, 0.438778, 0.243254)
(0.853235, 0.413036, 0.251418)
(0.897909, 0.395683, -0.0231999)
(0.779378, 0.515907, -0.281426)
(0.665357, 0.50398, -0.507091)
(0.487095, 0.495848, -0.686603)
(-0.463841, 0.510294, -0.691184)
(-0.643494, 0.523862, -0.513397)
(-0.759269, 0.53928, -0.288838)
(-0.799832, 0.555037, -0.0394906)
(-0.761213, 0.569591, 0.210239)
(-0.647191, 0.581518, 0.435904)
(0.66166, 0.561635, 0.442209)
(0.777434, 0.546218, 0.217651)
(0.817997, 0.530461, -0.0316969)
(0.68419, 0.638376, -0.257685)
(0.584532, 0.627952, -0.454923)
(0.428725, 0.620845, -0.611823)
(-0.402424, 0.63347, -0.615826)
(-0.559447, 0.64533, -0.460434)
(-0.660637, 0.658805, -0.264163)
(-0.69609, 0.672577, -0.0462253)
(-0.662336, 0.685298, 0.172046)
